,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
74,74,tensor(0.5861),48.37,5.98,3.49,98,0.0,0.0,75
75,75,tensor(0.5493),48.52,5.98,3.6,98,0.0,0.0,76
76,76,tensor(0.7185),53.87,5.89,3.61,95,0.0,0.0,77
77,77,tensor(0.5601),49.12,5.98,3.6,98,0.0,0.0,78
78,78,tensor(0.6071),51.31,5.96,3.77,97,0.0,0.0,79
79,79,tensor(0.6760),51.03,5.92,3.55,97,0.0,0.0,80
80,80,tensor(0.9206),56.88,5.81,3.59,93,0.0,0.0,81
81,81,tensor(0.6338),50.88,5.94,3.65,97,0.0,0.0,82
82,82,tensor(0.6136),50.2,5.95,3.34,97,0.0,0.0,83
83,83,tensor(0.5759),49.27,5.97,3.44,98,0.0,0.0,84
84,84,tensor(0.6266),50.84,5.92,3.43,97,0.0,0.0,85
85,85,tensor(1.0436),63.42,5.68,3.43,89,0.0,0.0,86
86,86,tensor(0.5751),48.29,5.97,3.53,98,0.0,0.0,87
87,87,tensor(0.5605),49.09,5.97,3.36,98,0.0,0.0,88
88,88,tensor(0.6186),50.92,5.92,3.41,97,0.0,0.0,89
89,89,tensor(0.7788),52.57,5.86,3.31,95,0.0,0.0,90
90,90,tensor(0.6332),51.12,5.92,3.45,97,0.0,0.0,91
91,91,tensor(0.5844),50.23,5.97,3.68,98,0.0,0.0,92
92,92,tensor(0.7572),51.81,5.9,3.6,96,0.0,0.0,93
93,93,tensor(0.8546),54.35,5.84,3.5,95,0.0,0.0,94
94,94,tensor(0.5786),49.07,5.97,3.47,98,0.0,0.0,95
95,95,tensor(1.1332),69.33,5.47,3.0,84,0.0,0.0,96
96,96,tensor(0.6163),49.71,5.97,3.45,98,0.0,0.0,97
97,97,tensor(0.7809),51.72,5.91,3.44,97,0.0,0.0,98
98,98,tensor(0.8296),52.33,5.88,3.63,96,0.0,0.0,99
99,99,tensor(0.7973),55.43,5.77,3.55,93,0.0,0.0,100
100,0,tensor(0.0441),200.0,0.31,0.56,0,0.0,0.5,1
101,1,tensor(0.0603),200.0,0.32,0.5,0,0.0,0.5,2
102,2,tensor(0.1014),200.0,0.31,0.56,0,0.0,0.5,3
103,3,tensor(0.0650),200.0,0.31,0.56,0,0.0,0.5,4
104,4,tensor(0.0657),200.0,0.49,0.62,0,0.0,0.5,5
105,5,tensor(0.2087),196.48,1.62,0.37,2,0.0,0.5,6
106,6,tensor(0.1627),200.0,1.1,0.48,0,0.0,0.5,7
