,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
0,0,tensor(0.0691),200.0,0.69,0.77,0,0.0,0.0,1
1,1,tensor(0.0438),200.0,0.32,0.5,0,0.0,0.0,2
2,2,tensor(0.1949),200.0,0.5,0.29,0,0.0,0.0,3
3,3,tensor(0.2912),191.6,2.32,0.96,5,0.0,0.0,4
4,4,tensor(0.3250),180.61,2.95,1.91,12,0.0,0.0,5
5,5,tensor(0.2566),194.95,1.66,0.78,3,0.0,0.0,6
6,6,tensor(0.7554),176.82,2.55,2.12,14,0.0,0.0,7
7,7,tensor(1.0961),158.52,3.35,3.01,26,0.0,0.0,8
8,8,tensor(0.8813),120.36,4.36,4.18,56,0.0,0.0,9
9,9,tensor(1.4753),122.87,4.25,3.73,54,0.0,0.0,10
10,10,tensor(1.3038),101.28,4.94,3.91,67,0.0,0.0,11
11,11,tensor(1.1853),96.28,5.04,3.92,70,0.0,0.0,12
12,12,tensor(1.1325),90.36,5.27,4.3,75,0.0,0.0,13
13,13,tensor(1.0537),84.05,5.41,4.35,78,0.0,0.0,14
14,14,tensor(1.0982),83.92,5.31,4.08,77,0.0,0.0,15
15,15,tensor(1.4009),104.53,4.98,4.26,64,0.0,0.0,16
16,16,tensor(1.4267),88.64,5.19,3.76,73,0.0,0.0,17
17,17,tensor(1.5063),75.88,5.38,3.59,82,0.0,0.0,18
18,18,tensor(1.5707),69.29,5.44,3.46,86,0.0,0.0,19
19,19,tensor(1.0359),68.18,5.59,3.48,87,0.0,0.0,20
20,20,tensor(1.1783),64.72,5.68,3.44,89,0.0,0.0,21
21,21,tensor(1.2666),64.33,5.56,3.25,88,0.0,0.0,22
22,22,tensor(0.6896),51.1,5.86,3.23,97,0.0,0.0,23
23,23,tensor(0.9658),55.79,5.84,3.52,95,0.0,0.0,24
24,24,tensor(1.3351),63.08,5.65,3.43,90,0.0,0.0,25
25,25,tensor(1.3771),69.75,5.44,3.21,84,0.0,0.0,26
26,26,tensor(0.8409),54.86,5.79,3.38,94,0.0,0.0,27
27,27,tensor(0.9497),58.26,5.81,3.69,93,0.0,0.0,28
28,28,tensor(0.8392),54.65,5.85,3.52,94,0.0,0.0,29
29,29,tensor(0.7187),54.54,5.9,3.71,94,0.0,0.0,30
30,30,tensor(0.9091),60.07,5.81,3.68,92,0.0,0.0,31
31,31,tensor(0.8793),50.94,5.87,3.51,96,0.0,0.0,32
32,32,tensor(0.5913),49.54,5.96,3.46,97,0.0,0.0,33
33,33,tensor(0.6812),48.95,5.94,3.68,97,0.0,0.0,34
34,34,tensor(0.9687),52.17,5.88,3.79,95,0.0,0.0,35
35,35,tensor(0.9082),51.44,5.87,3.8,95,0.0,0.0,36
36,36,tensor(0.7018),49.61,5.95,3.45,97,0.0,0.0,37
