,index,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
98,98,11.61,2.98,0.8,98,0.0,0.0,99
99,99,12.44,2.97,0.74,97,0.0,0.0,100
100,0,101.0,0.28,0.59,0,0.0,0.25,1
101,1,101.0,0.3,0.47,0,0.0,0.25,2
102,2,100.06,0.38,0.66,1,0.0,0.25,3
103,3,101.0,0.21,0.41,0,0.0,0.25,4
104,4,101.0,0.3,0.47,0,0.0,0.25,5
105,5,101.0,0.3,0.47,0,0.0,0.25,6
106,6,100.06,0.38,0.66,1,0.0,0.25,7
107,7,101.0,0.3,0.47,0,0.0,0.25,8
108,8,101.0,0.25,0.59,0,0.0,0.25,9
109,9,101.0,0.22,0.4,0,0.0,0.25,10
110,10,101.0,0.3,0.47,0,0.0,0.25,11
111,11,100.06,0.38,0.66,1,0.0,0.25,12
112,12,100.05,0.24,0.54,1,0.0,0.25,13
113,13,100.05,0.23,0.56,1,0.0,0.25,14
114,14,100.13,0.27,0.59,1,0.0,0.25,15
115,15,101.0,0.29,0.71,0,0.0,0.25,16
116,16,100.12,0.3,0.65,1,0.0,0.25,17
117,17,100.11,0.38,0.7,1,0.0,0.25,18
118,18,98.27,0.49,0.6,3,0.0,0.25,19
119,19,100.06,0.28,0.63,1,0.0,0.25,20
120,20,99.09,0.47,0.76,2,0.0,0.25,21
121,21,99.19,0.53,0.75,2,0.0,0.25,22
122,22,96.44,0.81,0.77,5,0.0,0.25,23
123,23,93.02,0.89,0.94,9,0.0,0.25,24
124,24,96.6,0.7,0.76,5,0.0,0.25,25
125,25,87.41,1.21,0.91,15,0.0,0.25,26
126,26,82.96,1.2,0.84,20,0.0,0.25,27
127,27,70.26,1.65,1.08,35,0.0,0.25,28
128,28,64.54,1.7,1.18,41,0.0,0.25,29
129,29,52.53,2.08,1.06,54,0.0,0.25,30
130,30,48.19,2.22,1.04,59,0.0,0.25,31
131,31,40.68,2.48,0.94,67,0.0,0.25,32
132,32,29.11,2.55,0.98,80,0.0,0.25,33
133,33,39.47,2.38,0.83,68,0.0,0.25,34
134,34,27.98,2.65,0.96,81,0.0,0.25,35
135,35,31.24,2.63,0.84,77,0.0,0.25,36
136,36,24.26,2.75,0.85,85,0.0,0.25,37
137,37,28.5,2.62,0.8,80,0.0,0.25,38
138,38,20.68,2.8,0.86,89,0.0,0.25,39
139,39,19.9,2.77,0.91,90,0.0,0.25,40
140,40,20.29,2.81,0.84,89,0.0,0.25,41
141,41,21.3,2.78,0.68,88,0.0,0.25,42
142,42,23.03,2.72,0.67,86,0.0,0.25,43
143,43,21.35,2.77,0.7,88,0.0,0.25,44
144,44,20.51,2.81,0.81,89,0.0,0.25,45
145,45,27.43,2.64,0.63,81,0.0,0.25,46
146,46,20.41,2.87,0.68,89,0.0,0.25,47
147,47,19.38,2.86,0.74,90,0.0,0.25,48
148,48,16.57,2.89,0.65,93,0.0,0.25,49
149,49,19.61,2.79,0.68,90,0.0,0.25,50
150,50,18.55,2.82,0.66,91,0.0,0.25,51
151,51,17.59,2.86,0.7,92,0.0,0.25,52
152,52,15.83,2.9,0.77,94,0.0,0.25,53
153,53,14.4,2.94,0.65,96,0.0,0.25,54
154,54,16.55,2.9,0.56,93,0.0,0.25,55
155,55,17.4,2.89,0.64,92,0.0,0.25,56
156,56,22.72,2.75,0.54,86,0.0,0.25,57
157,57,12.97,2.97,0.55,97,0.0,0.25,58
158,58,18.99,2.9,0.58,90,0.0,0.25,59
159,59,18.25,2.87,0.58,91,0.0,0.25,60
160,60,14.68,2.93,0.49,95,0.0,0.25,61
161,61,12.58,2.94,0.61,97,0.0,0.25,62
162,62,13.67,2.94,0.53,96,0.0,0.25,63
163,63,12.81,2.95,0.58,97,0.0,0.25,64
164,64,14.57,2.92,0.51,95,0.0,0.25,65
165,65,11.89,2.96,0.55,98,0.0,0.25,66
166,66,14.85,2.9,0.49,95,0.0,0.25,67
167,67,13.52,2.93,0.52,96,0.0,0.25,68
168,68,12.73,2.95,0.56,97,0.0,0.25,69
169,69,13.74,2.94,0.58,96,0.0,0.25,70
170,70,19.3,2.83,0.64,90,0.0,0.25,71
171,71,14.37,2.94,0.41,95,0.0,0.25,72
172,72,11.88,2.94,0.47,98,0.0,0.25,73
173,73,11.87,2.96,0.53,98,0.0,0.25,74
174,74,10.92,2.97,0.46,99,0.0,0.25,75
175,75,12.67,2.95,0.56,97,0.0,0.25,76
176,76,12.59,2.95,0.37,97,0.0,0.25,77
177,77,11.67,2.98,0.47,98,0.0,0.25,78
178,78,10.8,2.99,0.46,99,0.0,0.25,79
179,79,13.74,2.94,0.42,96,0.0,0.25,80
180,80,13.57,2.93,0.38,96,0.0,0.25,81
181,81,13.52,2.94,0.46,96,0.0,0.25,82
182,82,9.83,3.0,0.49,100,0.0,0.25,83
183,83,12.47,2.95,0.45,97,0.0,0.25,84
184,84,11.95,2.96,0.38,98,0.0,0.25,85
185,85,14.33,2.91,0.44,95,0.0,0.25,86
186,86,12.78,2.97,0.35,97,0.0,0.25,87
187,87,10.92,2.99,0.44,99,0.0,0.25,88
188,88,10.73,2.99,0.38,99,0.0,0.25,89
189,89,13.6,2.91,0.36,96,0.0,0.25,90
190,90,11.79,2.96,0.35,98,0.0,0.25,91
191,91,11.94,2.98,0.31,98,0.0,0.25,92
192,92,13.67,2.95,0.38,96,0.0,0.25,93
193,93,15.26,2.9,0.4,94,0.0,0.25,94
194,94,10.97,2.99,0.38,99,0.0,0.25,95
195,95,12.73,2.96,0.34,97,0.0,0.25,96
196,96,14.39,2.94,0.37,95,0.0,0.25,97
197,97,12.89,2.97,0.33,97,0.0,0.25,98
198,98,12.58,2.97,0.36,97,0.0,0.25,99
199,99,15.48,2.9,0.36,94,0.0,0.25,100
200,0,101.0,0.3,0.47,0,0.0,0.5,1
201,1,101.0,0.21,0.42,0,0.0,0.5,2
202,2,100.06,0.37,0.65,1,0.0,0.5,3
203,3,100.06,0.38,0.66,1,0.0,0.5,4
204,4,101.0,0.36,0.68,0,0.0,0.5,5
205,5,101.0,0.2,0.43,0,0.0,0.5,6
206,6,100.06,0.38,0.66,1,0.0,0.5,7
207,7,100.05,0.26,0.56,1,0.0,0.5,8
208,8,101.0,0.21,0.42,0,0.0,0.5,9
209,9,101.0,0.24,0.45,0,0.0,0.5,10
210,10,101.0,0.21,0.42,0,0.0,0.5,11
211,11,101.0,0.21,0.42,0,0.0,0.5,12
212,12,101.0,0.18,0.38,0,0.0,0.5,13
213,13,100.06,0.34,0.45,1,0.0,0.5,14
214,14,101.0,0.29,0.6,0,0.0,0.5,15
215,15,100.06,0.29,0.47,1,0.0,0.5,16
216,16,100.09,0.35,0.62,1,0.0,0.5,17
217,17,100.08,0.31,0.69,1,0.0,0.5,18
218,18,98.27,0.49,0.73,3,0.0,0.5,19
219,19,100.06,0.27,0.44,1,0.0,0.5,20
220,20,100.07,0.47,0.69,1,0.0,0.5,21
221,21,97.38,0.49,0.55,4,0.0,0.5,22
222,22,97.35,0.64,0.59,4,0.0,0.5,23
223,23,95.66,0.76,0.93,6,0.0,0.5,24
224,24,95.55,0.63,0.69,6,0.0,0.5,25
225,25,93.68,0.81,0.75,8,0.0,0.5,26
226,26,84.84,1.11,0.77,18,0.0,0.5,27
227,27,79.6,1.29,0.89,24,0.0,0.5,28
228,28,74.0,1.35,0.79,30,0.0,0.5,29
229,29,64.71,1.63,0.86,41,0.0,0.5,30
230,30,63.61,1.81,0.82,42,0.0,0.5,31
231,31,53.77,2.07,0.85,53,0.0,0.5,32
232,32,50.94,2.12,0.92,56,0.0,0.5,33
233,33,38.56,2.4,0.85,70,0.0,0.5,34
234,34,40.77,2.41,0.67,67,0.0,0.5,35
235,35,34.56,2.62,0.64,74,0.0,0.5,36
236,36,26.52,2.66,0.69,83,0.0,0.5,37
237,37,36.23,2.5,0.61,72,0.0,0.5,38
238,38,19.06,2.85,0.62,91,0.0,0.5,39
239,39,32.26,2.56,0.5,76,0.0,0.5,40
240,40,29.88,2.58,0.68,79,0.0,0.5,41
241,41,26.71,2.73,0.54,82,0.0,0.5,42
242,42,22.59,2.8,0.54,87,0.0,0.5,43
243,43,24.97,2.78,0.56,84,0.0,0.5,44
244,44,22.27,2.78,0.54,87,0.0,0.5,45
245,45,25.06,2.76,0.49,84,0.0,0.5,46
246,46,19.34,2.8,0.48,90,0.0,0.5,47
247,47,27.33,2.65,0.54,81,0.0,0.5,48
248,48,20.4,2.81,0.47,89,0.0,0.5,49
249,49,19.26,2.84,0.46,90,0.0,0.5,50
250,50,18.56,2.86,0.45,91,0.0,0.5,51
251,51,21.3,2.78,0.47,88,0.0,0.5,52
252,52,22.39,2.81,0.45,87,0.0,0.5,53
253,53,15.68,2.89,0.54,94,0.0,0.5,54
254,54,20.19,2.84,0.47,89,0.0,0.5,55
255,55,17.53,2.87,0.35,92,0.0,0.5,56
256,56,19.71,2.82,0.44,90,0.0,0.5,57
257,57,20.05,2.83,0.42,89,0.0,0.5,58
258,58,17.58,2.82,0.38,92,0.0,0.5,59
259,59,19.24,2.86,0.39,90,0.0,0.5,60
260,60,13.87,2.94,0.39,96,0.0,0.5,61
261,61,20.89,2.82,0.33,88,0.0,0.5,62
262,62,21.98,2.79,0.4,87,0.0,0.5,63
263,63,23.81,2.78,0.31,85,0.0,0.5,64
264,64,20.0,2.85,0.25,89,0.0,0.5,65
265,65,17.5,2.87,0.3,92,0.0,0.5,66
266,66,15.62,2.91,0.26,94,0.0,0.5,67
267,67,13.75,2.94,0.25,96,0.0,0.5,68
268,68,18.37,2.88,0.29,91,0.0,0.5,69
269,69,18.29,2.87,0.29,91,0.0,0.5,70
270,70,15.74,2.9,0.32,94,0.0,0.5,71
271,71,17.45,2.86,0.23,92,0.0,0.5,72
272,72,16.36,2.91,0.29,93,0.0,0.5,73
273,73,18.23,2.86,0.29,91,0.0,0.5,74
274,74,18.38,2.83,0.3,91,0.0,0.5,75
275,75,21.71,2.74,0.22,87,0.0,0.5,76
276,76,19.11,2.79,0.21,90,0.0,0.5,77
277,77,19.27,2.83,0.25,90,0.0,0.5,78
278,78,16.58,2.92,0.27,93,0.0,0.5,79
279,79,16.54,2.87,0.29,93,0.0,0.5,80
280,80,14.73,2.9,0.29,95,0.0,0.5,81
281,81,21.87,2.78,0.23,87,0.0,0.5,82
282,82,14.94,2.92,0.25,95,0.0,0.5,83
283,83,19.32,2.79,0.26,90,0.0,0.5,84
284,84,18.55,2.83,0.26,91,0.0,0.5,85
285,85,13.28,2.95,0.31,97,0.0,0.5,86
286,86,14.48,2.91,0.24,95,0.0,0.5,87
287,87,15.5,2.91,0.22,94,0.0,0.5,88
288,88,14.89,2.91,0.27,95,0.0,0.5,89
289,89,17.76,2.87,0.26,92,0.0,0.5,90
290,90,13.76,2.94,0.28,96,0.0,0.5,91
291,91,16.33,2.88,0.22,93,0.0,0.5,92
292,92,18.34,2.84,0.24,91,0.0,0.5,93
293,93,17.42,2.88,0.21,92,0.0,0.5,94
294,94,19.11,2.78,0.21,90,0.0,0.5,95
295,95,17.37,2.85,0.21,92,0.0,0.5,96
296,96,14.78,2.93,0.17,95,0.0,0.5,97
297,97,20.05,2.81,0.17,89,0.0,0.5,98
298,98,14.6,2.88,0.2,95,0.0,0.5,99
299,99,16.68,2.9,0.18,93,0.0,0.5,100
300,0,101.0,0.21,0.42,0,0.0,0.75,1
301,1,101.0,0.21,0.42,0,0.0,0.75,2
302,2,101.0,0.19,0.4,0,0.0,0.75,3
303,3,101.0,0.3,0.47,0,0.0,0.75,4
304,4,101.0,0.32,0.67,0,0.0,0.75,5
305,5,101.0,0.32,0.56,0,0.0,0.75,6
306,6,101.0,0.19,0.4,0,0.0,0.75,7
307,7,101.0,0.22,0.47,0,0.0,0.75,8
308,8,101.0,0.21,0.42,0,0.0,0.75,9
309,9,101.0,0.25,0.45,0,0.0,0.75,10
310,10,101.0,0.24,0.45,0,0.0,0.75,11
311,11,100.06,0.24,0.5,1,0.0,0.75,12
312,12,101.0,0.2,0.44,0,0.0,0.75,13
313,13,101.0,0.17,0.51,0,0.0,0.75,14
314,14,100.07,0.28,0.54,1,0.0,0.75,15
315,15,101.0,0.26,0.48,0,0.0,0.75,16
316,16,100.06,0.32,0.66,1,0.0,0.75,17
317,17,101.0,0.32,0.44,0,0.0,0.75,18
318,18,99.18,0.34,0.55,2,0.0,0.75,19
319,19,100.06,0.29,0.51,1,0.0,0.75,20
320,20,98.29,0.45,0.55,3,0.0,0.75,21
321,21,99.24,0.47,0.51,2,0.0,0.75,22
322,22,98.26,0.54,0.66,3,0.0,0.75,23
323,23,98.22,0.61,0.63,3,0.0,0.75,24
324,24,90.13,0.89,0.72,12,0.0,0.75,25
325,25,93.85,0.75,0.78,8,0.0,0.75,26
326,26,91.89,0.92,0.73,10,0.0,0.75,27
327,27,92.84,0.8,0.63,9,0.0,0.75,28
328,28,83.93,1.2,0.63,19,0.0,0.75,29
329,29,77.58,1.47,0.6,26,0.0,0.75,30
330,30,64.02,1.74,0.7,41,0.0,0.75,31
331,31,58.93,1.85,0.66,47,0.0,0.75,32
332,32,68.44,1.75,0.58,36,0.0,0.75,33
333,33,60.81,1.95,0.63,45,0.0,0.75,34
