,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
0,0,tensor(0.1591),99.06,0.39,0.67,1,0.0,0.0,1
1,1,tensor(0.5941),91.99,0.95,0.77,9,0.0,0.0,2
2,2,tensor(2.1232),24.81,2.75,1.71,86,0.0,0.0,3
3,3,tensor(1.5898),22.78,2.79,2.17,89,0.0,0.0,4
4,4,tensor(1.0780),15.16,2.94,1.6,96,0.0,0.0,5
5,5,tensor(0.6609),13.54,2.96,1.58,98,0.0,0.0,6
6,6,tensor(0.4579),13.84,2.96,1.45,98,0.0,0.0,7
7,7,tensor(0.5969),13.64,2.96,1.51,98,0.0,0.0,8
8,8,tensor(0.9320),22.92,2.8,1.69,87,0.0,0.0,9
9,9,tensor(0.2829),11.11,3.0,1.3,100,0.0,0.0,10
10,10,tensor(1.1449),18.11,2.84,1.45,93,0.0,0.0,11
11,11,tensor(1.0541),16.23,2.88,1.23,94,0.0,0.0,12
12,12,tensor(0.4906),13.78,2.98,1.6,98,0.0,0.0,13
13,13,tensor(0.2554),12.16,3.0,1.57,100,0.0,0.0,14
14,14,tensor(0.6672),14.44,2.92,1.55,97,0.0,0.0,15
15,15,tensor(0.2639),11.36,3.0,1.36,100,0.0,0.0,16
16,16,tensor(0.6347),12.81,2.96,1.23,98,0.0,0.0,17
17,17,tensor(0.5167),12.45,2.98,1.52,99,0.0,0.0,18
18,18,tensor(0.7362),14.06,2.93,1.54,97,0.0,0.0,19
19,19,tensor(1.5342),23.98,2.72,1.24,85,0.0,0.0,20
20,20,tensor(0.9610),15.64,2.91,1.38,95,0.0,0.0,21
21,21,tensor(0.7708),14.61,2.93,1.35,96,0.0,0.0,22
22,22,tensor(0.7377),14.76,2.94,1.23,96,0.0,0.0,23
23,23,tensor(0.4061),11.86,2.99,1.28,99,0.0,0.0,24
24,24,tensor(0.6018),12.82,2.97,1.3,98,0.0,0.0,25
25,25,tensor(0.2679),11.1,3.0,1.31,100,0.0,0.0,26
26,26,tensor(0.4087),12.15,2.99,1.35,99,0.0,0.0,27
27,27,tensor(1.1268),20.61,2.85,1.32,89,0.0,0.0,28
28,28,tensor(1.0215),16.49,2.93,1.45,95,0.0,0.0,29
29,29,tensor(0.2756),11.47,3.0,1.52,100,0.0,0.0,30
30,30,tensor(0.2566),11.61,3.0,1.44,100,0.0,0.0,31
31,31,tensor(1.5581),19.35,2.81,1.16,90,0.0,0.0,32
32,32,tensor(0.3959),12.19,2.98,1.36,99,0.0,0.0,33
33,33,tensor(0.4177),13.06,2.99,1.62,99,0.0,0.0,34
34,34,tensor(0.2644),11.11,3.0,1.28,100,0.0,0.0,35
35,35,tensor(0.2556),11.26,3.0,1.33,100,0.0,0.0,36
36,36,tensor(0.2491),11.2,3.0,1.3,100,0.0,0.0,37
37,37,tensor(0.6690),13.65,2.97,1.32,97,0.0,0.0,38
38,38,tensor(0.6541),12.62,2.97,1.29,98,0.0,0.0,39
39,39,tensor(0.6009),13.42,2.97,1.48,98,0.0,0.0,40
40,40,tensor(0.3812),12.48,2.99,1.47,99,0.0,0.0,41
41,41,tensor(0.3129),11.09,3.0,1.35,100,0.0,0.0,42
