,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
0,0,tensor(0.0988),200.0,0.27,0.61,0,0.0,0.0,1
1,1,tensor(0.1529),198.05,2.39,0.66,2,0.0,0.0,2
2,2,tensor(0.2311),200.0,0.65,0.67,0,0.0,0.0,3
3,3,tensor(0.3081),166.56,3.86,2.29,28,0.0,0.0,4
4,4,tensor(0.3062),160.34,4.09,2.24,32,0.0,0.0,5
5,5,tensor(0.3755),158.65,4.66,3.82,37,0.0,0.0,6
6,6,tensor(0.4974),76.7,5.92,4.58,98,0.0,0.0,7
7,7,tensor(0.5463),140.39,4.87,3.8,53,0.0,0.0,8
8,8,tensor(0.5923),67.86,6.0,4.49,100,0.0,0.0,9
9,9,tensor(0.4698),58.08,6.0,4.37,100,0.0,0.0,10
10,10,tensor(0.6111),58.24,6.0,4.58,100,0.0,0.0,11
11,11,tensor(0.4984),58.78,6.0,4.25,100,0.0,0.0,12
12,12,tensor(0.4671),63.52,6.0,4.55,100,0.0,0.0,13
13,13,tensor(0.4015),57.97,6.0,4.68,100,0.0,0.0,14
14,14,tensor(0.4542),53.43,6.0,4.13,100,0.0,0.0,15
15,15,tensor(0.4460),55.16,6.0,3.89,100,0.0,0.0,16
16,16,tensor(0.4050),53.0,6.0,4.2,100,0.0,0.0,17
17,17,tensor(0.5363),62.13,6.0,4.43,100,0.0,0.0,18
18,18,tensor(0.7612),78.28,5.83,4.92,89,0.0,0.0,19
19,19,tensor(0.3929),53.25,6.0,4.35,100,0.0,0.0,20
20,20,tensor(0.4190),53.86,6.0,4.26,100,0.0,0.0,21
21,21,tensor(0.3947),54.05,6.0,3.95,100,0.0,0.0,22
22,22,tensor(0.3877),53.48,6.0,4.15,100,0.0,0.0,23
23,23,tensor(0.4362),52.26,6.0,4.29,100,0.0,0.0,24
24,24,tensor(0.4558),61.73,6.0,4.54,100,0.0,0.0,25
25,25,tensor(0.4420),58.29,6.0,4.44,100,0.0,0.0,26
26,26,tensor(0.4211),51.58,6.0,4.0,100,0.0,0.0,27
27,27,tensor(0.4478),51.29,6.0,3.36,100,0.0,0.0,28
28,28,tensor(0.4069),48.38,6.0,3.41,100,0.0,0.0,29
29,29,tensor(0.4104),55.37,6.0,3.72,100,0.0,0.0,30
30,30,tensor(0.4072),51.62,6.0,4.03,100,0.0,0.0,31
31,31,tensor(0.3970),52.6,6.0,4.4,100,0.0,0.0,32
32,32,tensor(0.4040),48.44,6.0,4.02,100,0.0,0.0,33
33,33,tensor(0.3979),50.41,6.0,3.86,100,0.0,0.0,34
34,34,tensor(0.3917),53.11,6.0,4.07,100,0.0,0.0,35
35,35,tensor(0.3672),51.28,6.0,3.53,100,0.0,0.0,36
36,36,tensor(0.5020),52.08,6.0,3.97,100,0.0,0.0,37
37,37,tensor(0.4119),50.54,6.0,3.62,100,0.0,0.0,38
38,38,tensor(0.3977),50.66,6.0,3.58,100,0.0,0.0,39
39,39,tensor(0.4155),49.1,6.0,3.71,100,0.0,0.0,40
40,40,tensor(0.4429),47.85,6.0,3.15,100,0.0,0.0,41
41,41,tensor(0.4332),51.7,6.0,3.84,100,0.0,0.0,42
42,42,tensor(0.3952),51.01,6.0,3.84,100,0.0,0.0,43
43,43,tensor(0.4151),51.74,6.0,3.97,100,0.0,0.0,44
44,44,tensor(0.3874),49.82,6.0,3.99,100,0.0,0.0,45
45,45,tensor(0.4400),50.19,6.0,3.63,100,0.0,0.0,46
46,46,tensor(0.4268),50.42,6.0,3.61,100,0.0,0.0,47
47,47,tensor(0.4377),52.33,6.0,4.47,100,0.0,0.0,48
48,48,tensor(0.4001),48.35,6.0,3.62,100,0.0,0.0,49
