,index,critic_loss,avg_len,avg_obj,avg_side_effects,dones,run,lambda,time_step
74,74,tensor(0.4002),48.3,6.0,3.06,100,0.0,0.0,75
75,75,tensor(0.4902),47.9,6.0,3.21,100,0.0,0.0,76
76,76,tensor(0.4459),48.83,6.0,3.53,100,0.0,0.0,77
77,77,tensor(0.4337),46.66,6.0,3.24,100,0.0,0.0,78
78,78,tensor(0.4350),47.24,6.0,3.15,100,0.0,0.0,79
79,79,tensor(0.6275),59.35,5.99,3.27,99,0.0,0.0,80
80,80,tensor(0.4145),47.78,6.0,3.2,100,0.0,0.0,81
81,81,tensor(0.4324),50.87,6.0,3.38,100,0.0,0.0,82
82,82,tensor(0.4100),49.31,6.0,3.38,100,0.0,0.0,83
83,83,tensor(0.3775),48.76,6.0,3.39,100,0.0,0.0,84
84,84,tensor(0.4017),46.56,6.0,3.15,100,0.0,0.0,85
85,85,tensor(0.4081),46.49,6.0,3.3,100,0.0,0.0,86
86,86,tensor(0.3829),46.38,6.0,3.09,100,0.0,0.0,87
87,87,tensor(0.4034),49.22,6.0,3.18,100,0.0,0.0,88
88,88,tensor(0.4260),47.79,6.0,3.38,100,0.0,0.0,89
89,89,tensor(0.3984),47.83,6.0,3.23,100,0.0,0.0,90
90,90,tensor(0.3985),50.67,6.0,3.25,100,0.0,0.0,91
91,91,tensor(0.4360),50.06,6.0,3.46,100,0.0,0.0,92
92,92,tensor(0.3480),51.86,6.0,3.64,100,0.0,0.0,93
93,93,tensor(0.5120),55.09,6.0,3.67,100,0.0,0.0,94
94,94,tensor(0.4386),51.01,6.0,3.41,100,0.0,0.0,95
95,95,tensor(0.4010),50.27,6.0,3.23,100,0.0,0.0,96
96,96,tensor(0.4217),47.08,6.0,3.25,100,0.0,0.0,97
97,97,tensor(0.3789),47.57,6.0,3.19,100,0.0,0.0,98
98,98,tensor(0.3723),49.32,6.0,3.02,100,0.0,0.0,99
99,99,tensor(0.4485),46.86,6.0,3.28,100,0.0,0.0,100
100,0,tensor(0.1225),200.0,0.58,0.65,0,0.0,0.5,1
101,1,tensor(0.1703),196.8,3.13,3.44,7,0.0,0.5,2
102,2,tensor(0.1915),193.23,3.44,3.42,13,0.0,0.5,3
103,3,tensor(0.3451),156.49,5.05,2.79,54,0.0,0.5,4
104,4,tensor(0.2958),158.02,4.68,2.45,39,0.0,0.5,5
105,5,tensor(0.2378),186.07,3.77,2.71,17,0.0,0.5,6
106,6,tensor(0.6665),80.33,5.93,3.05,96,0.0,0.5,7
107,7,tensor(0.4619),127.06,5.02,2.36,59,0.0,0.5,8
108,8,tensor(0.7776),67.7,6.0,2.68,100,0.0,0.5,9
109,9,tensor(0.6137),73.82,5.96,2.83,96,0.0,0.5,10
110,10,tensor(0.6608),55.19,6.0,2.22,100,0.0,0.5,11
111,11,tensor(0.5165),55.64,6.0,2.51,100,0.0,0.5,12
112,12,tensor(0.4774),54.52,6.0,2.52,100,0.0,0.5,13
113,13,tensor(0.4807),56.23,6.0,2.85,100,0.0,0.5,14
114,14,tensor(0.6243),49.16,6.0,2.52,100,0.0,0.5,15
115,15,tensor(0.4465),53.82,6.0,2.78,100,0.0,0.5,16
116,16,tensor(0.5968),53.81,6.0,3.16,100,0.0,0.5,17
117,17,tensor(0.5136),50.82,6.0,2.95,100,0.0,0.5,18
118,18,tensor(0.5328),51.07,6.0,2.42,100,0.0,0.5,19
119,19,tensor(0.4660),49.77,6.0,2.45,100,0.0,0.5,20
120,20,tensor(0.5407),49.32,6.0,2.71,100,0.0,0.5,21
121,21,tensor(0.5619),50.01,6.0,2.48,100,0.0,0.5,22
122,22,tensor(0.4865),51.6,6.0,2.41,100,0.0,0.5,23
123,23,tensor(0.5676),51.5,5.99,2.42,99,0.0,0.5,24
124,24,tensor(0.5218),51.74,6.0,2.3,100,0.0,0.5,25
125,25,tensor(0.5215),48.73,6.0,2.44,100,0.0,0.5,26
126,26,tensor(0.5339),47.96,6.0,2.44,100,0.0,0.5,27
127,27,tensor(0.4837),48.6,6.0,2.35,100,0.0,0.5,28
128,28,tensor(0.5315),47.98,6.0,2.09,100,0.0,0.5,29
129,29,tensor(0.4969),50.36,6.0,2.1,100,0.0,0.5,30
130,30,tensor(0.4702),48.65,6.0,2.07,100,0.0,0.5,31
131,31,tensor(0.4895),51.77,6.0,2.35,100,0.0,0.5,32
132,32,tensor(0.5093),50.17,6.0,2.53,100,0.0,0.5,33
133,33,tensor(0.5001),47.95,6.0,2.39,100,0.0,0.5,34
134,34,tensor(0.4377),49.51,6.0,2.41,100,0.0,0.5,35
135,35,tensor(0.4746),49.03,6.0,2.57,100,0.0,0.5,36
136,36,tensor(0.5191),47.37,6.0,2.42,100,0.0,0.5,37
137,37,tensor(0.5264),48.71,6.0,2.05,100,0.0,0.5,38
138,38,tensor(0.4592),48.26,6.0,2.28,100,0.0,0.5,39
139,39,tensor(0.5251),53.09,6.0,2.58,100,0.0,0.5,40
140,40,tensor(0.4915),46.45,6.0,1.96,100,0.0,0.5,41
141,41,tensor(0.5966),45.46,6.0,1.92,100,0.0,0.5,42
142,42,tensor(0.4440),48.82,6.0,2.39,100,0.0,0.5,43
143,43,tensor(0.4847),51.31,6.0,2.27,100,0.0,0.5,44
144,44,tensor(0.5234),50.47,6.0,2.31,100,0.0,0.5,45
145,45,tensor(0.5612),51.28,6.0,2.22,100,0.0,0.5,46
146,46,tensor(0.4539),47.16,6.0,2.14,100,0.0,0.5,47
147,47,tensor(0.5062),49.73,6.0,2.19,100,0.0,0.5,48
148,48,tensor(0.4964),48.64,6.0,2.29,100,0.0,0.5,49
149,49,tensor(0.5000),49.44,6.0,2.08,100,0.0,0.5,50
150,50,tensor(0.5305),49.65,6.0,2.37,100,0.0,0.5,51
151,51,tensor(0.4533),48.87,6.0,1.96,100,0.0,0.5,52
152,52,tensor(0.5489),44.07,6.0,2.05,100,0.0,0.5,53
153,53,tensor(0.4617),50.01,6.0,2.33,100,0.0,0.5,54
154,54,tensor(0.5061),47.96,6.0,2.61,100,0.0,0.5,55
155,55,tensor(0.4673),50.43,6.0,2.27,100,0.0,0.5,56
156,56,tensor(0.4876),47.08,6.0,2.38,100,0.0,0.5,57
157,57,tensor(0.5362),47.38,6.0,2.4,100,0.0,0.5,58
158,58,tensor(0.4760),47.52,6.0,2.33,100,0.0,0.5,59
159,59,tensor(0.4981),50.44,6.0,2.59,100,0.0,0.5,60
160,60,tensor(0.5069),48.33,6.0,2.21,100,0.0,0.5,61
161,61,tensor(0.5056),47.82,6.0,2.44,100,0.0,0.5,62
162,62,tensor(0.5011),48.53,6.0,2.39,100,0.0,0.5,63
